TC ID,Feature,Module,Test Case Title,Type,Preconditions,Test Steps,Test Data,Expected Result,Actual Result,Status,Priority,Notes,Auto
TC-CRT-046,Cart,Add to Cart,"Add to cart via direct product URL (no prior homepage visit) [BUG]",Functional,"Browser context fresh (no cookies), never visited homepage","1. Navigate directly to /prod.html?idp_=1
2. Click ""Add to cart"" button
3. Confirm ""Product added"" dialog
4. Navigate to /cart.html
5. Verify product in cart table",Samsung Galaxy S6,"Product should appear in cart (1 row), Total = 360 USD. Root cause: Cookie 'user' only set by index.html, not prod.html → empty cookie → /viewcart returns shared bucket of 589+ items from other users","Currently: Cart shows 589 items (other users' data) or empty, BUG rò rỉ giỏ hàng",Not Run,Critical,DEF-SYS-001: Guest cart identity not established outside homepage. Security/data leak issue. test.fail() – assert /viewcart payload returns 1 item,Y
TC-CRT-020,Cart,Checkout,"Credit card – non-numeric characters",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order modal
3. Fill: Name=""John Doe"", Card=""ABCD-EFGH""
4. Click Purchase",Card: ABCD-EFGH,"REJECT with validation alert: ""Invalid card format (numbers only)"" before API call",Currently: Order succeeds with Amount: 0 USD,Not Run,Critical,DEF-001: Card format validation missing. Update expect from PASS to FAIL,Y
TC-CRT-026,Cart,Checkout,"Credit card – 15 digits (Amex, Luhn valid)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Name=""John Doe"", Card=""378282246310005"" (Amex, Luhn ✓)
4. Click Purchase","Card: 378282246310005, Year: 2027",ACCEPT: Order succeeds with Amount: 360 USD (not 0),Currently: Accept but Amount shows 0 USD (total not read correctly),Not Run,Critical,DEF-001 partial. Update amount expectation only: expect Amount: 360 USD instead of 0 USD,Y
TC-CRT-027,Cart,Checkout,"Credit card – 17 digits (exceeds max)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Card=""41111111111111111"" (17 digits)
4. Click Purchase",Card: 41111111111111111,"REJECT with validation alert: ""Card must be 13-19 digits"" or ""Card maximum length exceeded""",Currently: Accept with Amount: 0 USD,Not Run,Critical,DEF-001: Card length validation missing. Update expect from PASS to FAIL,Y
TC-CRT-028,Cart,Checkout,"Credit card – all zeros (Luhn fail)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Card=""0000000000000000""
4. Click Purchase",Card: 0000000000000000,"REJECT with validation alert: ""Invalid card (Luhn checksum failed)""",Currently: Accept with Amount: 0 USD,Not Run,Critical,DEF-001: Luhn checksum not validated. Update expect from PASS to FAIL,Y
TC-CRT-029,Cart,Checkout,"Credit card – contains spaces",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Card=""4111 1111 1111 1111""
4. Click Purchase",Card: 4111 1111 1111 1111,"REJECT with alert ""Remove spaces"" OR AUTO-STRIP spaces then validate",Currently: Accept with spaces in invoice,Not Run,Critical,DEF-001: No auto-strip or validation for spaces. Update expect from PASS to FAIL,Y
TC-CRT-030,Cart,Checkout,"Credit card – Luhn checksum invalid",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Card=""4111111111111112"" (last digit fails Luhn)
4. Click Purchase",Card: 4111111111111112,"REJECT with validation alert: ""Invalid card (Luhn checksum failed)""",Currently: Accept with Amount: 0 USD,Not Run,Critical,DEF-001: Luhn not checked. Update expect from PASS to FAIL,Y
TC-CRT-031,Cart,Checkout,"Month – 0 (invalid)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Month=""0"", Year=""2027"", Card=""4111111111111111""
4. Click Purchase",Month: 0,"REJECT with validation alert: ""Month must be 1-12""",Currently: Accept and order succeeds,Not Run,High,DEF-002: Month range validation missing. Update expect from PASS to FAIL,Y
TC-CRT-032,Cart,Checkout,"Month – 13 (exceeds range)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Month=""13"", Year=""2027""
4. Click Purchase",Month: 13,"REJECT with validation alert: ""Month must be 1-12""",Currently: Accept and order succeeds,Not Run,High,DEF-002: Month range not validated. Update expect from PASS to FAIL,Y
TC-CRT-033,Cart,Checkout,"Month – non-numeric characters",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Month=""abc"", Year=""2027""
4. Click Purchase",Month: abc,"REJECT with validation alert: ""Month must be numeric (1-12)""",Currently: Accept and order succeeds,Not Run,High,DEF-002: Month data type not validated. Update expect from PASS to FAIL,Y
TC-CRT-034,Cart,Checkout,"Month – leading zero (01 vs 1)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Month=""01"", Year=""2027"", Card=""4111111111111111""
4. Click Purchase
5. Repeat with Month=""1""",Month: 01 and 1,ACCEPT BOTH: Both ""01"" and ""1"" accepted. Order succeeds with Amount: 360 USD,Currently: Accept both,Pass,Low,Both formats valid. No change needed – keep as is,Y
TC-CRT-035,Cart,Checkout,"Year – 2-digit input (25 instead of 2025)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Year=""25"", Month=""06""
4. Click Purchase",Year: 25,"REJECT with alert ""Year must be 4 digits (YYYY)"" OR AUTO-CONVERT ""25"" → ""2025"" then accept (per app design)",Currently: Accept as-is,Not Run,High,"DEF-003: No 2-digit auto-convert or validation. Update expect: REJECT or auto-convert per design decision",Y
TC-CRT-036,Cart,Checkout,"Year – past year (2024, expired)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Year=""2024"", Month=""06""
4. Click Purchase",Year: 2024,"REJECT with validation alert: ""Card expired (year must be >= 2027)"" [current year is 2026]",Currently: Accept and order succeeds,Not Run,High,DEF-003: Expiry year not validated. Card should be rejected if < current+1. Update expect from PASS to FAIL,Y
TC-CRT-037,Cart,Checkout,"Year – far future (2100+)",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Year=""2100""
4. Click Purchase",Year: 2100,"REJECT with alert ""Year too far in future"" OR ACCEPT (app tolerance varies). Recommend REJECT for strict validation",Currently: Accept,Not Run,Medium,"DEF-003 optional. App boundary on future year unclear. Recommend REJECT but acceptable per design",Y
TC-CRT-038,Cart,Checkout,"Year – non-numeric characters",Functional,Product added to cart,"1. Add product ($360)
2. Open Place Order
3. Fill: Year=""abcd""
4. Click Purchase",Year: abcd,"REJECT with validation alert: ""Year must be numeric (YYYY)""",Currently: Accept,Not Run,High,DEF-003: Year data type not validated. Update expect from PASS to FAIL,Y
TC-CRT-023,Cart,Checkout,"Delete all products and attempt Place Order (empty cart)",Functional,Product added to cart,"1. Add product ($360)
2. Navigate to cart
3. Delete the product
4. Try to click ""Place Order"" button","Product: Samsung Galaxy S6, Empty cart scenario","BETTER UX: Disable Place Order button when cart is empty (grey out button, no click). Alternative: Show alert ""Cart is empty"" when clicked. Recommend option 1 (disable) to prevent 0 USD order ID waste.",Currently: Order succeeds with Amount: 0 USD,Not Run,Medium,"DEF-004: No empty cart validation. Cannot place order on empty cart. Better UX: disable button. Update expect from PASS to FAIL. Prevents 0 USD order IDs.",Y
TC-CRT-047,Cart,Checkout,"Place Order modal button interaction during success popup (modal stacking bug)",Functional,Successful order placed,"1. Add product ($360)
2. Open Place Order modal
3. Fill all fields with valid data
4. Click Purchase
5. Success popup appears (SweetAlert)
6. While success popup visible, try to interact with Place Order modal behind it (click Purchase button, modal fields)","Product: Samsung Galaxy S6, Valid card: 4111111111111111, Valid month/year: 06/2027","Modal buttons/fields should be DISABLED or hidden while success popup is visible. Modal should not be interactive (no clicking Purchase again, no editing fields). Success popup should be only interactive element.","Currently: Place Order modal button is still visible, enabled, and clickable behind success popup (modal stacking issue)",Not Run,Medium,"DEF-005: Modal stacking issue. Success popup should disable underlying modal. Bug: button remains interactive during success confirmation, can cause duplicate orders if user clicks again.",Y
